contexto,palavra,classe,genero,correcao_classe,correcao_palavra,genero_derivacao,tipo_nome,correcao_genero,animacidade,marca_genero_raiz,marca_genero_desinencia,marca_genero_concord,forma_heteronimo,tipo_substantivo,qual_heteronimo
na           estágio                      gênero                      masculino,gênero,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
gênero                      masculino                      idade                       vinte e,idade,substantivo,['Fem'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
vinte e cinco amanhã                                 profissão dos seus pais,profissão,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
amanhã                                 profissão dos seus pais           são professores,pais,substantivo,['Masc'],,,sim,comum,masculino,mais,sim,não,não,não,uniforme,
dos seus pais           são professores                      cidade onde,professores,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
pais           são professores                      cidade onde você nasceu,cidade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
atualmente           Aracaju           qual bairro           São Conrado,bairro,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
Conrado                      mora           na casa dos pais república,casa,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
na casa dos pais república           residência estudantil,república,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
casa dos pais república           residência estudantil casa própria,residência,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
você vem para a           ônibus                      é bolsista,ônibus,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
era bolsista pesquisa           pesquisa iniciação científica           isso,iniciação,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
hoje você recebe algum auxílio estudantil           não,auxílio,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
intercâmbio sempre morei           quantos mes                      quanto tempo,mes,substantivo,['Masc'],meses,,não,comum,masculino,menos,sim,não,não,não,uniforme,
quantos mes                      quanto tempo você passou mesmo,tempo,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
no intercâmbio                      passei um ano           um ano,ano,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
me conte aí mais fale cê falou um pouquinho,cê,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
mais fale cê falou um pouquinho no início,pouquinho,substantivo,['Masc'],advérbio,,-,-,-,-,-,-,-,-,-,
cê falou um pouquinho no início           né,início,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
lá           passou por algum processo de seleção de,processo,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
passou por algum processo de seleção de prova,seleção,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
algum processo de seleção de prova           então eu,prova,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
no pro   no programa do governo federal,programa,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
pro   no programa do governo federal                      de,governo,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
do governo federal                      de estudantes de Engenharia pra,estudantes,substantivo,['Masc'],,,não,deverbal,masculino e feminino,mais,não,não,sim,não,uniforme,
Engenharia pra           que seleciona estudante de           Engenharia,estudante,substantivo,['Fem'],,,não,deverbal,masculino e feminino,mais,não,não,sim,não,uniforme,
fazer           um ano de mestrado lá no caso,mestrado,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
fiz tudo              tinha um edital no caso,edital,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
selecionaram a partir da minha média           do meu,média,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
minha média           do meu currículo estudantil           e,currículo,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
e também com a nota do           no,nota,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
precisava ter uma média de seiscentos no           e,seiscentos,substantivo,['Masc'],numeral,,-,-,-,-,-,-,-,-,-,
eu sou anterior ao ao vest   eu sou,vest,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
eu entrei aqui pelo vestibular           eu,vestibular,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
no caso no meu ensino médio mas eu,ensino,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
e como foi lá a cultura de   deles,cultura,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
de   deles lá                      cê sentiu dificuldade,cê,substantivo,['Fem'],,,-,-,-,-,-,-,-,-,-,
deles lá                      cê sentiu dificuldade           cê sabia,dificuldade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
cê sabia já falar a língua           não não,língua,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
três meses de curso de francês aqui no Brasil,francês,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,biforme,
pra fazer a prova de proficiência           pra seleção,proficiência,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
francês no caso                      um mês de francês lá,mês,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
francês           bem bem do básico do básico no,básico,substantivo,['Masc'],,,não,comum,masculino,menos,não,sim,não,não,uniforme,
no caso                      foram outras pessoas daqui da também,pessoas,substantivo,['Fem'],,,não,comum,feminino,mais,sim,não,não,não,uniforme,
que eu posso falar           parceria           é isso,parceria,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
não com a no caso perdão           com a,perdão,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
a           e com a universidade com as universidades,universidade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
com a universidade com as universidades lá da França,universidades,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
então havia esse essa   oportunidade   de,oportunidade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
selecionado a gente tinha várias opções           incluindo,opções,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
incluindo                      casa de família                      residência da,família,substantivo,['Fem'],,,não,comum,feminino,mais,sim,não,não,não,uniforme,
tipo           eu atravessava a rua eu já tava,rua,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
mais barato era mais em conta           e também,conta,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
prático           eu tinha mais privacidade essas coisas,privacidade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
eu tinha mais privacidade essas coisas           você acha,coisas,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
você acha que isso enri   enriqueceu seu,enri,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
profissionalmente           academicamente quanto pessoal no caso,pessoal,substantivo,['Masc'],adjetivo,,-,-,-,-,-,-,-,-,-,
bom além de toda aquela coisa de           estudar,coisa,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
ter um curso de línguas           ter uma,línguas,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
fazem três me   três anos           de só,anos,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
como se fosse uma especialização                      aí,especialização,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
de estar em um país de primeiro mundo,país,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
em um país de primeiro mundo                      foi interessante,mundo,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
assim                      tem           muita diferença com o Brasil,diferença,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
toda aquela coisa de transporte público que,transporte,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
transporte público que           funciona saúde pública que funciona,saúde,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
o que mais           instituições que funcionam,instituições,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
país que você uma           diversidade cultural muito enorme,diversidade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
enorme                      você tem           mulçumanos cê tem africanos,mulçumanos,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
tem           mulçumanos cê tem africanos cê tem franceses,africanos,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
cê tem africanos cê tem franceses           cê tem,franceses,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
franceses           cê tem                      europeus não franceses,europeus,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
cê tem tipo           uma mistura de de muitos,mistura,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
uma mistura de de muitos povos           assim como,povos,substantivo,['Masc'],,,não,comum,masculino,mais,sim,não,não,não,uniforme,
você tinha           sei lá catedrais enormes                      sinagogas,catedrais,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
sei lá catedrais enormes                      sinagogas enormes                                 tem,sinagogas,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
tipo                      claro existe as exceções           que são,exceções,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
exceções           que são os racistas e tudo mais,racistas,substantivo,['Masc'],,,não,comum,masculino,mais,não,não,sim,não,uniforme,
respeitavam           respeitavam o o limite do outro,limite,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
onde começava o meu direito e   tipo,direito,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
direito e começava o do outro e tal,outro,substantivo,['Masc'],pronome,,-,-,-,-,-,não,não,-,-,
acho que a é a lição           mais importante,lição,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
funcionam cê tem saúde de qualidade cê tem,qualidade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
cê vê pra onde seu imposto tá indo e,imposto,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
e a gente às vezes não vê aqui,vezes,substantivo,['Fem'],locução adverbial ,,-,-,-,-,-,-,-,-,-,
lá           você saía os finais de semana com,finais,substantivo,['Masc'],,,não,comum,masculino,menos,não,não,sim,não,uniforme,
você saía os finais de semana com o pessoal,semana,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
mesmo tempo você           tinha momen   cê tem,momen,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
tinha momen   cê tem momentos que você pode,momentos,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
se divertir e           ter lazer e tudo o,lazer,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
num           quarto estudando a vida inteira           se,vida,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
a própria universidade           tem eventos cria eventos pra,eventos,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
claro                      você tem uma obrigação você           tem,obrigação,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
macivamente                      qual foi o lugar assim que,lugar,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
assim que           tem muito lugares atrativos lá né,lugares,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
como assim           um atrativo de lá de,atrativo,substantivo,['Masc'],,,não,impróprio,masculino,menos,sim,não,não,não,uniforme,
mais           lá você tinha situações que você tinha,situações,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
tinha           três meses de cu           pera aí,cu,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
aí           dois meses de aula           e um,aula,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
e um mês de fé   e uma,fé,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
e uma semana de férias           tipo uma,férias,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
como se fosse férias de verdade então                      eu,verdade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
e           viajar fazer um mochilão e tudo o,mochilão,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
eu pude conhecer algumas cidades muito interessantes,cidades,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
se eu não me engano foi                      perdão,engano,substantivo,['Masc'],verbo,,-,-,-,-,-,-,-,-,-,
tá           não fique a vontade                                 Annecy,vontade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
a cidade toda cortada por rios           por canais,rios,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
cortada por rios           por canais           aí você,canais,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
sei lá tipo se tem passeio de barco,passeio,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
tipo se tem passeio de barco           e o,barco,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
que                      que tem um traço medieval também,traço,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
medieval também           que tem castelos tem aquelas casas,castelos,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
que tem castelos tem aquelas casas antigas e tudo,casas,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
de ir tipo era nas montanhas eu adoro tipo,montanhas,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
eu sou mais assim de interior sabe   eu,interior,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
sou muito ah tipo de praia eu gosto de,praia,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
mais assim interior                      fazer trilha gosto muito fiz,trilha,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
lá           consegui fazer umas trilhas boas e tal,trilhas,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
interessante                      você sentiu muita falta da sua família,falta,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
tava vivendo alguma                      uma situação nova                                 eu,situação,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
teve que trazer algum           produto de lá,produto,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
produto de lá           no sentido de           estudo,sentido,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
como assim           no projeto de iniciação científica,projeto,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
científica                      vocês fazem                      produtos né isso,produtos,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
não porque                      eu trabalho com com computação,trabalho,substantivo,['Masc'],verbo,,-,-,-,-,-,-,-,-,-,
eu trabalho com com computação                      eu trabalho,computação,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
eu trabalho mais com mecânica computacional           então,mecânica,substantivo,['Fem'],,,não,impróprio,feminino,menos,sim,não,não,não,uniforme,
meu trabalho era tipo era s           cem por,s,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
cem por cento no computador                      então assim,computador,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
alguma coisa e trazer uma máquina pra cá não,máquina,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
pra cá não                      desenvolver softwares essas coisas,softwares,substantivo,['Masc'],,,não,estrangeirismo,masculino,menos,sim,não,não,não,uniforme,
que você vê o caos como sei lá,caos,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
já           com que frequência você vai ou,frequência,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
vai ou           então meu pai é carioca,pai,substantivo,['Masc'],,,não,comum,masculino,mais,sim,não,não,sim,uniforme,mãe
sozinho fui com uns amigos           a gente,amigos,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
assistir eu fui pra um show em São Paulo,show,substantivo,['Masc'],,,não,estrangeirismo,masculino,menos,sim,não,não,não,uniforme,
o que                      umas duas semanas em São Paulo,semanas,substantivo,['Fem'],,,não,comum,masculino e feminino,menos,sim,não,não,não,uniforme,
aproveitei e conheci tenho um amigo que mora lá,amigo,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
quem trabalha e ganha dinheiro e tudo o,dinheiro,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
tipo   também de negócios é           uma,negócios,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
não           eu não vejo plane   eu não,plane,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
não vejo não via planejamento no Rio de,planejamento,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
rodar a cidade inteira de metrô por exemplo,metrô,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
cidade inteira de metrô por exemplo           no Rio,exemplo,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
teve o           teve um momento que eles tiveram,momento,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
cá pra Aracaju           meu avô   vô se,avô,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
voltar           e sua a mãe é daqui,mãe,substantivo,['Fem'],,,não,comum,feminino,mais,sim,não,não,sim,uniforme,pai
nesse Tchê                      é um bar           é um,bar,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
bar           é           esses bares ficam onde,bares,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
fica lá na           no farol da na Farolândia,farol,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
tiver indo fazer alguma           comemoração coisa assim a,comemoração,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
aqui no Brasil           no meio assim parecida com,meio,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
ela tem que oferecer                      espaços para lazer sabe,espaços,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
para lazer sabe           tipo parque não assim,parque,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
possa sair com seus           filhos cê pode tipo,filhos,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
cê possa respirar o ar           puro cê,ar,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
puro cê possa ver a natureza e tudo o,natureza,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
Cajueiros o parque da Cidade que é muito,Cidade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
fosse           lá é uma reserva ambiental           da,reserva,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
o parque           tem uma área comum do parque,área,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
do parque que você tem brinquedo           que você,brinquedo,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
levar seus filhos tem o campo de futebol e,campo,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
filhos tem o campo de futebol e tal,futebol,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
e tal           tem o zoológico também                      é,zoológico,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
em Xingó           assim           serra geralmente tem trilha,serra,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
Miaba           no caso faz parte da serra de,parte,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
ou                      e do outro lado           tem a,lado,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
não me engano foram oito quilômetros           de serra,quilômetros,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
oito quilômetros           de serra subida e descida,subida,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
de serra subida e descida           oito quilômetros,descida,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
quilômetros           eita                      quando cês quando cê vai,cês,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
vai cê vai           em grupo ou vai sozinho,grupo,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
amigos           quais são os equipamentos que vocês levam,equipamentos,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
levam pra você se                      corda                      pri,corda,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
corda                      pri   kit de primeiros socorros,kit,substantivo,['Masc'],,,não,estrangeirismo,masculino,menos,sim,não,não,não,uniforme,
pri   kit de primeiros socorros sempre                      e,socorros,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
e o que mais                      protetor solar é importantíssimo,protetor,substantivo,['Masc'],?,,não,deverbal,masculino,menos,não,sim,não,não,biforme,
protetor solar é importantíssimo           água muita água,água,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
água muita água           comida           mas alimentação,comida,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
água           comida           mas alimentação cê falou que,alimentação,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
leve sim sim sim                      montanha cê já escalou,montanha,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
isso você           desenvolveu de criança ou na sua,criança,substantivo,['Fem'],,,não,comum,feminino,mais,sim,não,não,não,uniforme,
também gostam desse tipo de aventura           não,aventura,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
só eu           cê tem irmãos           lá em,irmãos,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
tenho tenho tenho um irmão           ele também,irmão,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
assim           eu tenho medo de altu,medo,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
eu tenho medo de altu   por,altu,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
pareça eu tenho medo de altura           eu acredito,altura,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
assim eu gosto da sensação sabe           de,sensação,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
subindo de você vê a paisagem lá de cima,paisagem,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
vê a paisagem lá de cima           eu acho,cima,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
vontade de de fazer           parapente           é tipo,parapente,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
parapente           é tipo rapel           não parapente,rapel,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
você sentado           em uma cadeirinha                      legal,cadeirinha,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
pula de um de um avião da vontade de,avião,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
de           fazer o o paraquedas no caso também,paraquedas,substantivo,['Fem'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
e fazer um           uma asa delta           e,asa,substantivo,['Fem'],,,não,comum,-,-,-,-,-,-,-,
asa delta           e aquele tirolesa você já,tirolesa,substantivo,['Masc'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
quando você pega a velocidade           tipo é,velocidade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
aquela sensação de           adrenalina no corpo,adrenalina,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
sensação de           adrenalina no corpo           leveza,corpo,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
adrenalina no corpo           leveza           isso,leveza,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
você fique mais           relaxado espaireça a cabeca,espaireça,substantivo,['Fem'],verbo,,-,-,-,-,-,-,-,-,-,
mais           relaxado espaireça a cabeca           faz,cabeca,substantivo,['Fem'],,cabeça,não,comum,feminino,menos,sim,não,não,não,uniforme,
sair           pra fazer alguma atividade pra              conseguir,atividade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
tenho tran   eu tenho transtorno de ansiedade,transtorno,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
